name,feed_url,topics,notes
Hils' Substack,https://hils.substack.com/feed,,
One Useful Thing,https://www.oneusefulthing.org/feed,,
Arnicas' Substack,https://arnicas.substack.com/feed,,
Simon Willison's Weblog,https://simonwillison.net/atom/everything/,,
Hamel Husain's Blog,https://hamel.dev/index.xml,,
Applied LLMs,https://applied-llms.org/index.xml,,
Posit Blog,https://posit.co/blog/index.xml,,
Shiny Blog,https://shiny.posit.co/blog/index.xml,,
Simon Couch's Blog,https://www.simonpcouch.com/blog/index.xml,,
Embrace The Red,https://embracethered.com/index.xml,,
Parlance Labs,https://parlance-labs.com/index.xml,,
